Sno,violations,time
1,No Violations,"Thu, 13 Jan 2022 17:51:02 GMT"
2,No Violations,"Thu, 13 Jan 2022 17:51:03 GMT"
3,No Violations,"Thu, 13 Jan 2022 17:51:05 GMT"
4,No Violations,"Thu, 13 Jan 2022 17:51:06 GMT"
5,No Violations,"Thu, 13 Jan 2022 17:51:08 GMT"
6,No Violations,"Thu, 13 Jan 2022 17:51:09 GMT"
7,No Violations,"Thu, 13 Jan 2022 17:51:10 GMT"
8,No Violations,"Thu, 13 Jan 2022 17:51:11 GMT"
9,No Violations,"Thu, 13 Jan 2022 17:51:12 GMT"
10,No Violations,"Thu, 13 Jan 2022 17:51:14 GMT"
11,No Violations,"Thu, 13 Jan 2022 17:51:15 GMT"
12,No Violations,"Thu, 13 Jan 2022 17:51:17 GMT"
13,No Violations,"Thu, 13 Jan 2022 17:51:18 GMT"
14,No Violations,"Thu, 13 Jan 2022 17:51:20 GMT"
15,No Violations,"Thu, 13 Jan 2022 17:51:22 GMT"
16,No Violations,"Thu, 13 Jan 2022 17:51:23 GMT"
17,No Violations,"Thu, 13 Jan 2022 17:51:25 GMT"
18,No Violations,"Thu, 13 Jan 2022 17:51:26 GMT"
19,No Violations,"Thu, 13 Jan 2022 17:51:28 GMT"
20,No Violations,"Thu, 13 Jan 2022 17:51:29 GMT"
21,No Violations,"Thu, 13 Jan 2022 17:51:31 GMT"
22,No Violations,"Thu, 13 Jan 2022 17:51:32 GMT"
23,No Violations,"Thu, 13 Jan 2022 17:51:34 GMT"
24,No Violations,"Thu, 13 Jan 2022 17:51:35 GMT"
25,No Violations,"Thu, 13 Jan 2022 17:51:37 GMT"
26,No Violations,"Thu, 13 Jan 2022 17:51:38 GMT"
27,No Violations,"Thu, 13 Jan 2022 17:51:40 GMT"
28,No Violations,"Thu, 13 Jan 2022 17:51:41 GMT"
29,No Violations,"Thu, 13 Jan 2022 17:51:43 GMT"
30,No Violations,"Thu, 13 Jan 2022 17:51:44 GMT"
31,No Violations,"Thu, 13 Jan 2022 17:51:46 GMT"
32,No Violations,"Thu, 13 Jan 2022 17:51:47 GMT"
33,No Violations,"Thu, 13 Jan 2022 17:51:49 GMT"
34,No Violations,"Thu, 13 Jan 2022 17:51:51 GMT"
35,No Violations,"Thu, 13 Jan 2022 17:51:52 GMT"
36,No Violations,"Thu, 13 Jan 2022 17:51:54 GMT"
37,No Violations,"Thu, 13 Jan 2022 17:51:56 GMT"
38,No Violations,"Thu, 13 Jan 2022 17:51:57 GMT"
39,No Violations,"Thu, 13 Jan 2022 17:51:58 GMT"
40,No Violations,"Thu, 13 Jan 2022 17:52:00 GMT"
41,No Violations,"Thu, 13 Jan 2022 17:52:02 GMT"
42,No Violations,"Thu, 13 Jan 2022 17:52:04 GMT"
43,No Violations,"Thu, 13 Jan 2022 17:52:06 GMT"
44,No Violations,"Thu, 13 Jan 2022 17:52:08 GMT"
45,No Violations,"Thu, 13 Jan 2022 17:52:10 GMT"
46,No Violations,"Thu, 13 Jan 2022 17:52:12 GMT"
47,No Violations,"Thu, 13 Jan 2022 17:52:13 GMT"
48,No Violations,"Thu, 13 Jan 2022 17:52:14 GMT"
49,No Violations,"Thu, 13 Jan 2022 17:52:17 GMT"
50,No Violations,"Thu, 13 Jan 2022 17:52:18 GMT"
51,No Violations,"Thu, 13 Jan 2022 17:52:20 GMT"
52,No Violations,"Thu, 13 Jan 2022 17:52:22 GMT"
53,No Violations,"Thu, 13 Jan 2022 17:52:24 GMT"
54,No Violations,"Thu, 13 Jan 2022 17:52:25 GMT"
55,No Violations,"Thu, 13 Jan 2022 17:52:27 GMT"
56,No Violations,"Thu, 13 Jan 2022 17:52:28 GMT"
57,No Violations,"Thu, 13 Jan 2022 17:52:30 GMT"
58,No Violations,"Thu, 13 Jan 2022 17:52:31 GMT"
59,No Violations,"Thu, 13 Jan 2022 17:52:33 GMT"
