Sno,violations,time
1,0,"Thu, 13 Jan 2022 11:36:49 GMT"
2,0,"Thu, 13 Jan 2022 11:36:55 GMT"
3,No Violations,"Thu, 13 Jan 2022 11:36:58 GMT"
4,No Violations,"Thu, 13 Jan 2022 11:36:59 GMT"
5,No Violations,"Thu, 13 Jan 2022 11:37:00 GMT"
6,No Violations,"Thu, 13 Jan 2022 11:37:01 GMT"
7,No Violations,"Thu, 13 Jan 2022 11:37:03 GMT"
8,No Violations,"Thu, 13 Jan 2022 11:37:04 GMT"
9,No Violations,"Thu, 13 Jan 2022 11:37:05 GMT"
10,No Violations,"Thu, 13 Jan 2022 11:37:05 GMT"
11,No Violations,"Thu, 13 Jan 2022 11:37:07 GMT"
12,No Violations,"Thu, 13 Jan 2022 11:37:07 GMT"
13,No Violations,"Thu, 13 Jan 2022 11:41:57 GMT"
14,No Violations,"Thu, 13 Jan 2022 11:41:58 GMT"
15,No Violations,"Thu, 13 Jan 2022 11:42:00 GMT"
16,No Violations,"Thu, 13 Jan 2022 11:42:01 GMT"
17,No Violations,"Thu, 13 Jan 2022 11:42:02 GMT"
18,No Violations,"Thu, 13 Jan 2022 11:42:04 GMT"
19,No Violations,"Thu, 13 Jan 2022 11:42:06 GMT"
20,No Violations,"Thu, 13 Jan 2022 11:42:08 GMT"
21,No Violations,"Thu, 13 Jan 2022 11:42:09 GMT"
22,No Violations,"Thu, 13 Jan 2022 11:42:10 GMT"
23,No Violations,"Thu, 13 Jan 2022 11:42:11 GMT"
24,No Violations,"Thu, 13 Jan 2022 11:42:13 GMT"
25,No Violations,"Thu, 13 Jan 2022 11:42:14 GMT"
26,No Violations,"Thu, 13 Jan 2022 11:42:15 GMT"
27,No Violations,"Thu, 13 Jan 2022 11:42:16 GMT"
28,No Violations,"Thu, 13 Jan 2022 11:42:18 GMT"
29,No Violations,"Thu, 13 Jan 2022 11:42:19 GMT"
30,No Violations,"Thu, 13 Jan 2022 11:42:21 GMT"
31,No Violations,"Thu, 13 Jan 2022 11:42:23 GMT"
32,No Violations,"Thu, 13 Jan 2022 11:42:25 GMT"
33,No Violations,"Thu, 13 Jan 2022 11:42:26 GMT"
34,No Violations,"Thu, 13 Jan 2022 11:42:28 GMT"
35,No Violations,"Thu, 13 Jan 2022 11:42:29 GMT"
36,No Violations,"Thu, 13 Jan 2022 11:42:31 GMT"
37,No Violations,"Thu, 13 Jan 2022 11:42:32 GMT"
38,No Violations,"Thu, 13 Jan 2022 11:42:34 GMT"
39,No Violations,"Thu, 13 Jan 2022 11:42:36 GMT"
40,No Violations,"Thu, 13 Jan 2022 11:42:37 GMT"
41,No Violations,"Thu, 13 Jan 2022 11:42:39 GMT"
42,No Violations,"Thu, 13 Jan 2022 11:42:41 GMT"
43,No Violations,"Thu, 13 Jan 2022 11:42:42 GMT"
44,No Violations,"Thu, 13 Jan 2022 11:42:44 GMT"
45,No Violations,"Thu, 13 Jan 2022 11:42:46 GMT"
46,No Violations,"Thu, 13 Jan 2022 11:42:48 GMT"
47,No Violations,"Thu, 13 Jan 2022 11:42:49 GMT"
48,No Violations,"Thu, 13 Jan 2022 11:42:51 GMT"
49,No Violations,"Thu, 13 Jan 2022 11:42:53 GMT"
50,No Violations,"Thu, 13 Jan 2022 11:42:54 GMT"
51,No Violations,"Thu, 13 Jan 2022 11:42:56 GMT"
52,No Violations,"Thu, 13 Jan 2022 11:42:57 GMT"
53,No Violations,"Thu, 13 Jan 2022 11:42:59 GMT"
54,No Violations,"Thu, 13 Jan 2022 11:43:00 GMT"
55,No Violations,"Thu, 13 Jan 2022 11:43:02 GMT"
56,No Violations,"Thu, 13 Jan 2022 11:43:03 GMT"
57,No Violations,"Thu, 13 Jan 2022 11:43:05 GMT"
58,No Violations,"Thu, 13 Jan 2022 11:43:07 GMT"
59,No Violations,"Thu, 13 Jan 2022 11:43:08 GMT"
60,No Violations,"Thu, 13 Jan 2022 11:43:10 GMT"
61,No Violations,"Thu, 13 Jan 2022 11:43:12 GMT"
62,No Violations,"Thu, 13 Jan 2022 11:43:13 GMT"
63,No Violations,"Thu, 13 Jan 2022 11:43:15 GMT"
64,No Violations,"Thu, 13 Jan 2022 11:43:17 GMT"
65,No Violations,"Thu, 13 Jan 2022 11:43:18 GMT"
66,No Violations,"Thu, 13 Jan 2022 11:43:20 GMT"
67,No Violations,"Thu, 13 Jan 2022 11:43:21 GMT"
68,No Violations,"Thu, 13 Jan 2022 11:43:23 GMT"
69,No Violations,"Thu, 13 Jan 2022 11:43:24 GMT"
70,No Violations,"Thu, 13 Jan 2022 11:43:26 GMT"
71,No Violations,"Thu, 13 Jan 2022 11:43:27 GMT"
72,No Violations,"Thu, 13 Jan 2022 11:43:29 GMT"
73,No Violations,"Thu, 13 Jan 2022 11:43:30 GMT"
74,No Violations,"Thu, 13 Jan 2022 11:43:32 GMT"
75,No Violations,"Thu, 13 Jan 2022 11:43:34 GMT"
76,No Violations,"Thu, 13 Jan 2022 11:43:35 GMT"
77,No Violations,"Thu, 13 Jan 2022 11:43:37 GMT"
78,No Violations,"Thu, 13 Jan 2022 11:43:38 GMT"
79,No Violations,"Thu, 13 Jan 2022 11:43:40 GMT"
80,No Violations,"Thu, 13 Jan 2022 11:43:41 GMT"
81,No Violations,"Thu, 13 Jan 2022 11:43:43 GMT"
82,No Violations,"Thu, 13 Jan 2022 11:43:45 GMT"
83,No Violations,"Thu, 13 Jan 2022 11:43:46 GMT"
84,No Violations,"Thu, 13 Jan 2022 11:43:49 GMT"
85,No Violations,"Thu, 13 Jan 2022 11:43:51 GMT"
86,No Violations,"Thu, 13 Jan 2022 11:43:53 GMT"
87,No Violations,"Thu, 13 Jan 2022 11:43:55 GMT"
88,No Violations,"Thu, 13 Jan 2022 11:43:57 GMT"
89,No Violations,"Thu, 13 Jan 2022 11:43:59 GMT"
90,No Violations,"Thu, 13 Jan 2022 11:44:01 GMT"
91,No Violations,"Thu, 13 Jan 2022 11:44:03 GMT"
92,No Violations,"Thu, 13 Jan 2022 11:44:05 GMT"
93,No Violations,"Thu, 13 Jan 2022 11:44:07 GMT"
94,No Violations,"Thu, 13 Jan 2022 11:44:09 GMT"
95,No Violations,"Thu, 13 Jan 2022 11:44:11 GMT"
96,No Violations,"Thu, 13 Jan 2022 11:44:12 GMT"
97,No Violations,"Thu, 13 Jan 2022 11:44:14 GMT"
98,No Violations,"Thu, 13 Jan 2022 11:44:16 GMT"
99,No Violations,"Thu, 13 Jan 2022 11:44:18 GMT"
100,No Violations,"Thu, 13 Jan 2022 11:44:21 GMT"
101,No Violations,"Thu, 13 Jan 2022 11:44:23 GMT"
102,No Violations,"Thu, 13 Jan 2022 11:44:25 GMT"
103,No Violations,"Thu, 13 Jan 2022 11:44:27 GMT"
104,No Violations,"Thu, 13 Jan 2022 11:44:29 GMT"
105,No Violations,"Thu, 13 Jan 2022 11:44:31 GMT"
106,No Violations,"Thu, 13 Jan 2022 11:44:32 GMT"
107,No Violations,"Thu, 13 Jan 2022 11:44:34 GMT"
108,No Violations,"Thu, 13 Jan 2022 11:44:36 GMT"
109,No Violations,"Thu, 13 Jan 2022 11:44:38 GMT"
110,No Violations,"Thu, 13 Jan 2022 11:44:40 GMT"
111,No Violations,"Thu, 13 Jan 2022 11:44:42 GMT"
112,No Violations,"Thu, 13 Jan 2022 11:44:43 GMT"
113,No Violations,"Thu, 13 Jan 2022 11:44:45 GMT"
114,No Violations,"Thu, 13 Jan 2022 11:44:47 GMT"
115,No Violations,"Thu, 13 Jan 2022 11:44:50 GMT"
116,No Violations,"Thu, 13 Jan 2022 11:44:52 GMT"
117,No Violations,"Thu, 13 Jan 2022 11:44:53 GMT"
118,No Violations,"Thu, 13 Jan 2022 11:44:55 GMT"
119,No Violations,"Thu, 13 Jan 2022 11:44:57 GMT"
120,No Violations,"Thu, 13 Jan 2022 11:44:59 GMT"
121,No Violations,"Thu, 13 Jan 2022 11:45:00 GMT"
122,No Violations,"Thu, 13 Jan 2022 11:45:02 GMT"
123,No Violations,"Thu, 13 Jan 2022 11:45:04 GMT"
124,No Violations,"Thu, 13 Jan 2022 11:45:06 GMT"
125,No Violations,"Thu, 13 Jan 2022 11:45:08 GMT"
126,No Violations,"Thu, 13 Jan 2022 11:45:10 GMT"
127,No Violations,"Thu, 13 Jan 2022 11:45:11 GMT"
128,No Violations,"Thu, 13 Jan 2022 11:45:13 GMT"
129,No Violations,"Thu, 13 Jan 2022 11:45:14 GMT"
130,No Violations,"Thu, 13 Jan 2022 11:45:16 GMT"
131,No Violations,"Thu, 13 Jan 2022 11:45:18 GMT"
132,No Violations,"Thu, 13 Jan 2022 11:45:20 GMT"
133,No Violations,"Thu, 13 Jan 2022 11:45:21 GMT"
134,No Violations,"Thu, 13 Jan 2022 11:45:23 GMT"
135,No Violations,"Thu, 13 Jan 2022 11:45:25 GMT"
136,No Violations,"Thu, 13 Jan 2022 11:45:26 GMT"
137,No Violations,"Thu, 13 Jan 2022 11:45:28 GMT"
138,No Violations,"Thu, 13 Jan 2022 11:45:30 GMT"
139,No Violations,"Thu, 13 Jan 2022 11:45:32 GMT"
140,No Violations,"Thu, 13 Jan 2022 11:45:34 GMT"
141,No Violations,"Thu, 13 Jan 2022 11:45:35 GMT"
142,No Violations,"Thu, 13 Jan 2022 11:45:37 GMT"
143,No Violations,"Thu, 13 Jan 2022 11:45:39 GMT"
144,No Violations,"Thu, 13 Jan 2022 11:45:41 GMT"
145,No Violations,"Thu, 13 Jan 2022 11:45:43 GMT"
146,No Violations,"Thu, 13 Jan 2022 11:45:45 GMT"
147,No Violations,"Thu, 13 Jan 2022 11:45:47 GMT"
148,No Violations,"Thu, 13 Jan 2022 11:45:49 GMT"
149,No Violations,"Thu, 13 Jan 2022 11:45:50 GMT"
150,No Violations,"Thu, 13 Jan 2022 11:45:52 GMT"
151,No Violations,"Thu, 13 Jan 2022 11:45:54 GMT"
152,No Violations,"Thu, 13 Jan 2022 11:45:56 GMT"
153,No Violations,"Thu, 13 Jan 2022 11:45:58 GMT"
154,No Violations,"Thu, 13 Jan 2022 11:45:59 GMT"
